Time: 0
Object: x = 6.33257e+006, y = 3.82298e+006
Object: x = 9.07479e+006, y = 3.57303e+006
Object: x = 8.53633e+006, y = 3.34631e+006
Object: x = 6.75831e+006, y = 9.74204e+006
Object: x = 9.48604e+006, y = 6.9922e+006
Object: x = 1.97558e+006, y = 569832
Object: x = 9.17106e+006, y = 3.91019e+006
Object: x = 5.92241e+006, y = 7.4781e+006
Object: x = 3.95537e+006, y = 6.75493e+006
Object: x = 5.52385e+006, y = 6.47223e+006
Object: x = 7.40382e+006, y = 3.02916e+006
Object: x = 5.48548e+006, y = 8.4874e+006
Object: x = 724653, y = 223098
Object: x = 2.57999e+006, y = 646823
Object: x = 6.68979e+006, y = 4.7341e+006
Object: x = 4.74322e+006, y = 429040
Object: x = 8.66469e+006, y = 8.93165e+006
Object: x = 1.06922e+006, y = 6.35676e+006
Object: x = 2.18431e+006, y = 5.93806e+006
Object: x = 2.98282e+006, y = 4.78588e+006
Object: x = 9.5652e+006, y = 4.70537e+006
Object: x = 3.25389e+006, y = 6.71862e+006
Object: x = 894153, y = 9.5425e+006
Object: x = 4.86409e+006, y = 4.38095e+006
Object: x = 7.03579e+006, y = 6.13182e+006
Object: x = 2.58999e+006, y = 9.40788e+006
Object: x = 8.21828e+006, y = 7.21112e+006
Object: x = 1.89397e+006, y = 4.56882e+006
Object: x = 5.41585e+006, y = 7.42088e+006
Object: x = 5.78192e+006, y = 8.78884e+006
Object: x = 3.78731e+006, y = 7.00783e+006
Object: x = 9.17045e+006, y = 6.10999e+006
Object: x = 2.80709e+006, y = 4.31184e+006
Object: x = 7.4747e+006, y = 230652
Object: x = 1.57071e+006, y = 7.77294e+006
Object: x = 9.84841e+006, y = 9.04927e+006
Object: x = 3.11782e+006, y = 6.25406e+006
Object: x = 5.74301e+006, y = 5.40512e+006
Object: x = 830874, y = 89649.4
Object: x = 6.52666e+006, y = 4.80296e+006
Object: x = 6.71838e+006, y = 8.4799e+006
Object: x = 7.70161e+006, y = 830061
Object: x = 4.47259e+006, y = 1.33059e+006
Object: x = 3.60179e+006, y = 2.2409e+006
Object: x = 2.92133e+006, y = 7.68336e+006
Object: x = 1.09679e+006, y = 6.22322e+006
Object: x = 3.2432e+006, y = 4.1975e+006
Object: x = 6.25275e+006, y = 4.83111e+006
Object: x = 6.95097e+006, y = 6.53581e+006
Object: x = 7.59848e+006, y = 3.96547e+006
Object: x = 682304, y = 353590
Object: x = 9.6532e+006, y = 6.446e+006
Object: x = 2.65512e+006, y = 2.0891e+006
Object: x = 911776, y = 710469
Object: x = 8.63482e+006, y = 911787
Object: x = 8.35473e+006, y = 3.45442e+006
Object: x = 4.66665e+006, y = 3.88647e+006
Object: x = 2.28014e+006, y = 8.78265e+006
Object: x = 9.83049e+006, y = 7.96241e+006
Object: x = 4.36933e+006, y = 7.26511e+006
Object: x = 5.78638e+006, y = 340814
Object: x = 4.72236e+006, y = 8.01842e+006
Object: x = 3.26142e+006, y = 6.69307e+006
Object: x = 669522, y = 596783
Object: x = 5.3514e+006, y = 7.55559e+006
Object: x = 111490, y = 1.07183e+006
Object: x = 3.5981e+006, y = 6.8377e+006
Object: x = 9.8286e+006, y = 6.65955e+006
Object: x = 2.98399e+006, y = 7.86009e+006
Object: x = 682141, y = 1.6552e+006
Object: x = 8.28914e+006, y = 7.07008e+006
Object: x = 412752, y = 8.83987e+006
Object: x = 5.79559e+006, y = 2.31638e+006
Object: x = 7.04048e+006, y = 8.82026e+006
Object: x = 4.18574e+006, y = 502789
Object: x = 9.04819e+006, y = 7.2926e+006
Object: x = 843436, y = 8.30558e+006
Object: x = 8.9193e+006, y = 5.07058e+006
Object: x = 5.65292e+006, y = 2.27448e+006
Object: x = 7.20689e+006, y = 3.35524e+006
Object: x = 353480, y = 2.88911e+006
Object: x = 4.38715e+006, y = 6.29076e+006
Object: x = 980852, y = 4.05323e+006
Object: x = 1.10228e+006, y = 1.38269e+006
Object: x = 8.95373e+006, y = 7.95262e+006
Object: x = 6.58991e+006, y = 3.98679e+006
Object: x = 4.79743e+006, y = 777246
Object: x = 548121, y = 694635
Object: x = 9.44325e+006, y = 2.20205e+006
Object: x = 2.32481e+006, y = 2.23934e+006
Object: x = 8.62124e+006, y = 5.54261e+006
Object: x = 7.13099e+006, y = 2.94183e+006
Object: x = 7.70208e+006, y = 4.00367e+006
Object: x = 8.27706e+006, y = 9.08964e+006
Object: x = 6.02149e+006, y = 4.015e+006

Time: 6
Object: x = 9.70604e+229, y = 4.58191e+244
Object: x = 5.15358e+006, y = 9.75149e+006
Object: x = 5.28652e+006, y = 7.88493e+006
Object: x = 3.2985e+006, y = 5.83744e+006
Object: x = 9.28593e+006, y = 197524
Object: x = -1.1287e+308, y = 3.42526e+006
Object: x = -5.45392e+155, y = -6.8559e+193
Object: x = 78281.4, y = 2.86952e+006
Object: x = 5.21826e+152, y = 2.61938e+191
Object: x = -6.8559e+193, y = -3.15121e+232
Object: x = 3.36358e+006, y = 6.71428e+006
Object: x = inf, y = nan
Object: x = 1.44854e+006, y = 23844.3
Object: x = 5.21826e+152, y = 4.85669e+036
Object: x = 7.54976e+006, y = 4.61797e+006
Object: x = -inf, y = inf
Object: x = 4.49552e+006, y = 8.35422e+006
Object: x = 3.99789e+006, y = 7.91795e+006
Object: x = 5.42455e+006, y = 7.39295e+006
Object: x = 1.28952e+006, y = 7.65725e+006
Object: x = 2.08265e+006, y = 8.87774e+006
Object: x = 8.38125e+006, y = 9.24272e+006
Object: x = 3.16842e+006, y = 4.99603e+006
Object: x = 4.54274e+006, y = 5.46674e+006
Object: x = 7.25993e+006, y = 3.46433e+006
Object: x = 5.97731e+006, y = 1.80123e+006
Object: x = 7.60963e+006, y = 5.13926e+006
Object: x = 3.59704e+006, y = 7.64392e+006
Object: x = 4.60112e+006, y = 2.19918e+006
Object: x = 1.4039e+006, y = 7.34808e+006
Object: x = 8.41075e+006, y = 7.67294e+006
Object: x = 9.13984e+006, y = 9.23147e+006
Object: x = 7.90475e+006, y = 8.8978e+006
Object: x = 3.67211e+006, y = 734021
Object: x = 6.78054e+006, y = 6.74759e+006
Object: x = 3.06172e+006, y = 5.37438e+006
Object: x = 7.94452e+006, y = 8.31393e+006
Object: x = 856484, y = 2.08469e+006
Object: x = 3.00054e+006, y = 2.95086e+006
Object: x = 3.40818e+006, y = 3.63171e+006
Object: x = 8.41552e+006, y = 7.72041e+006
Object: x = 3.40442e+006, y = 9.81805e+006
Object: x = 3.5352e+006, y = 2.24379e+006
Object: x = 8.6693e+006, y = 4.52182e+006
Object: x = 5.71962e+006, y = 3.68473e+006
Object: x = 1.01862e+006, y = 2.21207e+006
Object: x = 9.79195e+006, y = 5.49671e+006
Object: x = 9.72242e+006, y = 6.78656e+006
Object: x = 2.45163e+006, y = 3.95945e+006
Object: x = 7.35038e+006, y = 6.56941e+006
Object: x = 3.39652e+006, y = 9.97286e+006
Object: x = 5.42901e+006, y = 434438
Object: x = 3.17664e+006, y = 7.6642e+006
Object: x = 1.43163e+006, y = 9.89382e+006
Object: x = 4.85631e+006, y = 9.59358e+006
Object: x = 1.24209e+006, y = 4.95433e+006
Object: x = 8.27934e+006, y = 7.06547e+006
Object: x = 3.50581e+006, y = 6.92455e+006
Object: x = 1.66822e+006, y = 4.57167e+006
Object: x = 3.33589e+006, y = 6.57516e+006
Object: x = 2.01043e+006, y = 4.60902e+006
Object: x = 1.36749e+006, y = 9.82021e+006
Object: x = 6.1119e+006, y = 6.35035e+006
Object: x = 5.67611e+006, y = 3.23679e+006
Object: x = 2.77726e+006, y = 3.80504e+006
Object: x = 1.63053e+006, y = 3.17244e+006
Object: x = 7.78838e+006, y = 3.57435e+006
Object: x = 4.64322e+006, y = 3.03656e+006
Object: x = 3.04979e+006, y = 3.1196e+006
Object: x = 4.23497e+006, y = 5.30797e+006
Object: x = 8.84326e+006, y = 5.3793e+006
Object: x = 8.10725e+006, y = 8.03286e+006
Object: x = 3.00268e+006, y = 6.87547e+006
Object: x = 5.91946e+006, y = 6.36171e+006
Object: x = 9.60777e+006, y = 254988
Object: x = 5.41727e+006, y = 7.53865e+006
Object: x = 9.43951e+006, y = 9.01685e+006
Object: x = 4.26136e+006, y = 9.41217e+006
Object: x = 9.33555e+006, y = 9.47846e+006
Object: x = 6.81162e+006, y = 4.55665e+006
Object: x = 828231, y = 1.37551e+006
Object: x = 5.03878e+006, y = 6.67564e+006
Object: x = 4.94294e+006, y = 6.73333e+006
Object: x = 7.65109e+006, y = 1.42732e+006
Object: x = 6.06095e+006, y = 8.53095e+006
Object: x = 2.07433e+006, y = 1.53599e+006
Object: x = 6.41075e+006, y = 5.87687e+006
Object: x = 2.91123e+006, y = 114753
Object: x = 7.61252e+006, y = 6.58384e+006
Object: x = 6.16644e+006, y = 5.41926e+006
Object: x = 2.74885e+006, y = 4.65053e+006
Object: x = 8.78762e+006, y = 7.29802e+006
Object: x = 5.11572e+006, y = 3.73704e+006
Object: x = 8.70417e+006, y = 1.64706e+006
Object: x = 1.18898e+006, y = 487583
Object: x = 8.27556e+006, y = 4.20685e+006
Object: x = 9.10171e+006, y = 5.13557e+006
Object: x = 7.46602e+006, y = 7.44906e+006
Object: x = 9.61799e+006, y = 543783
Object: x = 6.83364e+006, y = 1.59986e+006
Object: x = 7.00079e+006, y = 105081
Object: x = 853567, y = 1.06937e+006
Object: x = 85745.6, y = 9.96582e+006
Object: x = 2.18599e+006, y = 516428
Object: x = 4.17829e+006, y = 3.03819e+006
Object: x = 2.74139e+006, y = 6.069e+006
Object: x = 6.59544e+006, y = 2.34302e+006
Object: x = 1.73142e+006, y = 4.92174e+006
Object: x = 2.12799e+006, y = 2.05763e+006
Object: x = 6.66351e+006, y = 5.87105e+006
Object: x = 2.45814e+006, y = 6.56588e+006
Object: x = 8.19378e+006, y = 4.14575e+006
Object: x = 545137, y = 357631
Object: x = 6.87184e+006, y = 1.9339e+006
Object: x = 7.33865e+006, y = 3.0464e+006
Object: x = 3.11364e+006, y = 2.21428e+006
Object: x = 4.03953e+006, y = 5.1232e+006
Object: x = 5.49375e+006, y = 4.5441e+006
Object: x = 57005.9, y = 7.99809e+006
Object: x = 2.43186e+006, y = 9.27462e+006
Object: x = 9.67189e+006, y = 1.36699e+006
Object: x = 8.86222e+006, y = 1.31038e+006
Object: x = 5.27811e+006, y = 6.1423e+006
Object: x = 8.29222e+006, y = 6.57183e+006
Object: x = 3.95894e+006, y = 294364
Object: x = 8.72016e+006, y = 1.76922e+006
Object: x = 1.47637e+006, y = 6.49539e+006
Object: x = 8.97434e+006, y = 3.0134e+006
Object: x = 5.5662e+006, y = 4.95656e+006
Object: x = 8.65294e+006, y = 3.96303e+006
Object: x = 7.51696e+006, y = 2.45033e+006
Object: x = 843413, y = 9.87337e+006
Object: x = 4.81313e+006, y = 8.71784e+006
Object: x = 4.56005e+006, y = 8.45882e+006
Object: x = 5.02098e+006, y = 6.19057e+006
Object: x = 1.34709e+006, y = 3.73412e+006
Object: x = 5.23076e+006, y = 9.97599e+006
Object: x = 7.76148e+006, y = 7.59511e+006
Object: x = 3.06876e+006, y = 6.93738e+006
Object: x = 5.92807e+006, y = 5.28389e+006
Object: x = 4.75128e+006, y = 9.00171e+006
Object: x = 8.06618e+006, y = 7.55504e+006
Object: x = 3.57621e+006, y = 7.04612e+006
Object: x = 6.94925e+006, y = 7.30571e+006
Object: x = 1.97253e+006, y = 6.0042e+006
Object: x = 2.77881e+006, y = 7.48597e+006
Object: x = 8.26095e+006, y = 4.28936e+006
Object: x = 8.36945e+006, y = 7.298e+006
Object: x = 1.5615e+006, y = 2.2159e+006
Object: x = 2.59718e+006, y = 3.42169e+006
Object: x = 2.13305e+006, y = 5.71735e+006
Object: x = 1.51692e+006, y = 2.48306e+006
Object: x = 96807.7, y = 2.5602e+006
Object: x = 8.58681e+006, y = 9.97455e+006
Object: x = 1.29825e+006, y = 9.87108e+006
Object: x = 4.83548e+006, y = 4.20279e+006
Object: x = 9.37356e+006, y = 2.68275e+006
Object: x = 648771, y = 2.84485e+006
Object: x = 4.2463e+006, y = 7.24441e+006
Object: x = 6.73412e+006, y = 800907
Object: x = 8.53998e+006, y = 420604
Object: x = 4.9551e+006, y = 6.97958e+006
Object: x = 6.33488e+006, y = 9.66391e+006
Object: x = 7.0314e+006, y = 3.31291e+006
Object: x = 6.4387e+006, y = 1.81537e+006
Object: x = 6.13068e+006, y = 7.00267e+006
Object: x = 7.73896e+006, y = 3.78048e+006
Object: x = 8.17799e+006, y = 2.67827e+006
Object: x = 3.13189e+006, y = 951303
Object: x = 6.40527e+006, y = 3.31275e+006
Object: x = 9.8685e+006, y = 4.41407e+006
Object: x = 8.73184e+006, y = 3.40354e+006
Object: x = 8.57094e+006, y = 2.58496e+006
Object: x = 5.76362e+006, y = 2.26938e+006
Object: x = 6.65962e+006, y = 8.984e+006
Object: x = 8.1029e+006, y = 7.42421e+006
Object: x = 9.69727e+006, y = 1.70171e+006
Object: x = 3.33104e+006, y = 5.01615e+006
Object: x = 98839.8, y = 8.35322e+006
Object: x = 3.59032e+006, y = 9.63374e+006
Object: x = 5.8033e+006, y = 5.8666e+006
Object: x = 7.78228e+006, y = 2.77661e+006
Object: x = 4.96422e+006, y = 4.09692e+006
Object: x = 4.34819e+006, y = 2.45883e+006
Object: x = 8.83276e+006, y = 9.59327e+006
Object: x = 6.57333e+006, y = 7.07885e+006
Object: x = 7.10009e+006, y = 1.86573e+006
Object: x = 2.58718e+006, y = 3.79725e+006
Object: x = 8.98728e+006, y = 7.53999e+006
Object: x = 7.73412e+006, y = 5.93681e+006
Object: x = 7.29572e+006, y = 3.5308e+006
Object: x = 6.34863e+006, y = 9.89917e+006
Object: x = 8.93673e+006, y = 5.54485e+006
Object: x = 1.0629e+006, y = 4.82281e+006
Object: x = 9.56923e+006, y = 4.55178e+006
Object: x = 4.18253e+006, y = 9.57944e+006
Object: x = 5.18485e+006, y = 6.4932e+006
Object: x = 3.14679e+006, y = 9.59297e+006
Object: x = 1.34596e+006, y = 1.46584e+006
Object: x = 93595.2, y = 1.11199e+006
Object: x = 4.62744e+006, y = 9.62689e+006
Object: x = 3.35329e+006, y = 1.09712e+006
Object: x = 6.75213e+006, y = 2.74613e+006
Object: x = 1.32862e+006, y = 9.49392e+006
Object: x = 6.13616e+006, y = 1.16718e+006
Object: x = 9.47281e+006, y = 1.44297e+006
Object: x = 3.63908e+006, y = 1.7335e+006
Object: x = 7.71632e+006, y = 2.89962e+006
Object: x = 2.14565e+006, y = 3.42813e+006
Object: x = 1.89042e+006, y = 2.69979e+006
Object: x = 1.05266e+006, y = 9.08509e+006
Object: x = 3.69547e+006, y = 632861
Object: x = 5.98794e+006, y = 1.90106e+006
Object: x = 8.13484e+006, y = 1.33003e+006
Object: x = 205258, y = 787499
Object: x = 546341, y = 2.40745e+006
Object: x = 874106, y = 5.9525e+006
Object: x = 8.75746e+006, y = 2.00934e+006
Object: x = 3.57929e+006, y = 9.77876e+006
Object: x = 6.97676e+006, y = 4.83711e+006
Object: x = 6.64353e+006, y = 8.21105e+006
Object: x = 1.54529e+006, y = 6.49304e+006
Object: x = 6.56705e+006, y = 4.22004e+006
Object: x = 6.3017e+006, y = 9.83428e+006
Object: x = 4.59475e+006, y = 3.23244e+006
Object: x = 5.72048e+006, y = 8.61609e+006
Object: x = 5.95471e+006, y = 8.91297e+006
Object: x = 3.16095e+006, y = 3.84419e+006
Object: x = 3.01271e+006, y = 578572
Object: x = 8.2011e+006, y = 3.36553e+006
Object: x = 7.07297e+006, y = 4.79599e+006
Object: x = 1.63571e+006, y = 4.53458e+006
Object: x = 2.5258e+006, y = 907072
Object: x = 436781, y = 1.81154e+006
Object: x = 7.79508e+006, y = 2.6069e+006
Object: x = 8.50859e+006, y = 4.64133e+006
Object: x = 8.19495e+006, y = 2.50144e+006
Object: x = 4.92726e+006, y = 6.11284e+006
Object: x = 9.84321e+006, y = 780018
Object: x = 28681.8, y = 4.72239e+006
Object: x = 263063, y = 8.82204e+006
Object: x = 4.01516e+006, y = 7.1277e+006
Object: x = 2.93196e+006, y = 1.02542e+006
Object: x = 9.52604e+006, y = 995825
Object: x = 6.45551e+006, y = 7.40057e+006
Object: x = 4.61417e+006, y = 8.04433e+006
Object: x = 7.62761e+006, y = 2.43194e+006
Object: x = 4.20335e+006, y = 2.13477e+006
Object: x = 6.11765e+006, y = 7.85453e+006
Object: x = 32386, y = 7.0927e+006
Object: x = 2.92275e+006, y = 1.86417e+006
Object: x = 2.99594e+006, y = 4.67547e+006
Object: x = 5.01487e+006, y = 2.73526e+006
Object: x = 3.99219e+006, y = 2.64631e+006
Object: x = 9.20589e+006, y = 559281
Object: x = 5.86523e+006, y = 8.76472e+006
Object: x = 6.00776e+006, y = 6.4351e+006
Object: x = 4.01558e+006, y = 2.62911e+006
Object: x = 6.17109e+006, y = 2.00903e+006
Object: x = 627439, y = 5.87445e+006
Object: x = 3.92471e+006, y = 3.68475e+006
Object: x = 8.67512e+006, y = 9.39046e+006
Object: x = 6.9941e+006, y = 9.83944e+006
Object: x = 9.12867e+006, y = 4.6609e+006
Object: x = 6.6322e+006, y = 9.29387e+006
Object: x = 7.73992e+006, y = 8.92467e+006
Object: x = 6.98772e+006, y = 2.25768e+006
Object: x = 6.61912e+006, y = 1.59123e+006
Object: x = 2.38805e+006, y = 7.70198e+006
Object: x = 8.30957e+006, y = 7.21241e+006
Object: x = 3.24165e+006, y = 1.32845e+006
Object: x = 716872, y = 5.38232e+006
Object: x = 4.25633e+006, y = 5.28171e+006
Object: x = 110951, y = 3.81346e+006
Object: x = 9.66515e+006, y = 4.17547e+006
Object: x = 3.86254e+006, y = 8.2379e+006
Object: x = 141121, y = 8.91476e+006
Object: x = 2.66617e+006, y = 2.49297e+006
Object: x = 7.56039e+006, y = 9.17497e+006
Object: x = 7.97281e+006, y = 763734
Object: x = 8.32549e+006, y = 4.43425e+006
Object: x = 1.89105e+006, y = 463748
Object: x = 9.35754e+006, y = 9.04201e+006
Object: x = 684966, y = 8.90933e+006
Object: x = 1.83201e+006, y = 4.38442e+006
Object: x = 7.36314e+006, y = 3.53282e+006
Object: x = 5.42027e+006, y = 2.04971e+006
Object: x = 4.10065e+006, y = 7.59622e+006
Object: x = 6.11386e+006, y = 1.30562e+006
Object: x = 5.87709e+006, y = 2.99157e+006
Object: x = 4.61793e+006, y = 5.31151e+006
Object: x = 3.67015e+006, y = 3.87436e+006
Object: x = 2.76362e+006, y = 1.63379e+006
Object: x = 8.96702e+006, y = 929904
Object: x = 4.37268e+006, y = 3.45671e+006
Object: x = 5.68554e+006, y = 8.59237e+006
Object: x = 3.76655e+006, y = 3.05234e+006
Object: x = 5.63735e+006, y = 1.97516e+006
Object: x = 2.42952e+006, y = 7.86841e+006
Object: x = 3.01629e+006, y = 9.70037e+006
Object: x = 3.87883e+006, y = 5.52614e+006
Object: x = 1.69182e+006, y = 2.72359e+006
Object: x = 4.39456e+006, y = 8.43691e+006
Object: x = 332627, y = 2.32588e+006
Object: x = 9.37233e+006, y = 2.88135e+006
Object: x = 948534, y = 340429
Object: x = 9.98066e+006, y = 5.84976e+006
Object: x = 1.89524e+006, y = 6.77439e+006
Object: x = 9.46728e+006, y = 4.70328e+006
Object: x = 9.03629e+006, y = 9.99226e+006
Object: x = 1.9446e+006, y = 3.97432e+006
Object: x = 514356, y = 5.727e+006
Object: x = 1.68895e+006, y = 9.79836e+006
Object: x = 4.79491e+006, y = 2.95001e+006
Object: x = 6.70331e+006, y = 7.28371e+006
Object: x = 6.33484e+006, y = 1.90283e+006
Object: x = 3.84844e+006, y = 9.25017e+006
Object: x = 1.47732e+006, y = 7.62667e+006
Object: x = 6.84491e+006, y = 5.35141e+006
Object: x = 3.12245e+006, y = 7.85276e+006
Object: x = 5.0557e+006, y = 2.1681e+006
Object: x = 5.28012e+006, y = 5.95632e+006
Object: x = 2.18553e+006, y = 7.30971e+006
Object: x = 5.68729e+006, y = 6.01573e+006
Object: x = 4.93105e+006, y = 6.79009e+006
Object: x = 1.47156e+006, y = 3.71097e+006
Object: x = 8.42417e+006, y = 7.3757e+006
Object: x = 3.00665e+006, y = 8.51938e+006
Object: x = 9.1227e+006, y = 7.47071e+006
Object: x = 2.85624e+006, y = 1.35845e+006
Object: x = 6.73255e+006, y = 7.04336e+006
Object: x = 1.14305e+006, y = 4.7031e+006
Object: x = 3.41304e+006, y = 96687.6
Object: x = 9.75645e+006, y = 3.10068e+006
Object: x = 7.38956e+006, y = 2.37697e+006
Object: x = 1.00565e+006, y = 6.4913e+006
Object: x = 1.4829e+006, y = 5.91974e+006
Object: x = 7.38996e+006, y = 3.42791e+006
Object: x = 1.70812e+006, y = 8.67834e+006
Object: x = 2.78555e+006, y = 2.61913e+006
Object: x = 2.74824e+006, y = 338348
Object: x = 266408, y = 8.20417e+006
Object: x = 7.39815e+006, y = 4.45312e+006
Object: x = 2.83598e+006, y = 9.20567e+006
Object: x = 7.95641e+006, y = 5.56105e+006
Object: x = 4.06302e+006, y = 5.38292e+006
Object: x = 2.85246e+006, y = 5.27185e+006
Object: x = 6.84089e+006, y = 9.60498e+006
Object: x = 3.54743e+006, y = 8.15608e+006
Object: x = 4.19164e+006, y = 8.2281e+006
Object: x = 6.38235e+006, y = 7.16867e+006
Object: x = 5.57751e+006, y = 1.92536e+006
Object: x = 7.729e+006, y = 293442
Object: x = 695825, y = 1.83345e+006
Object: x = 8.42025e+006, y = 1.27771e+006
Object: x = 6.47225e+006, y = 2.11183e+006
Object: x = 1.43422e+006, y = 2.24615e+006
Object: x = 8.31749e+006, y = 6.12022e+006
Object: x = 3.74608e+006, y = 4.72004e+006
Object: x = 2.24048e+006, y = 2.19056e+006
Object: x = 1.73414e+006, y = 5.24964e+006
Object: x = 5.26703e+006, y = 2.49469e+006
Object: x = 5.68513e+006, y = 8.82252e+006
Object: x = 4.79973e+006, y = 8.16558e+006
Object: x = 501544, y = 5.60956e+006
Object: x = 4.48316e+006, y = 6.88862e+006
Object: x = 3.59716e+006, y = 311488
Object: x = 565484, y = 52008.9
Object: x = 1.97887e+006, y = 1.08749e+006
Object: x = 8.77401e+006, y = 4.4135e+006
Object: x = 1.76806e+006, y = 5.1113e+006
Object: x = 5.79685e+006, y = 5.20235e+006
Object: x = 8.84914e+006, y = 2.75742e+006
Object: x = 4.70468e+006, y = 6.68515e+006
Object: x = 4.56272e+006, y = 4.7842e+006
Object: x = 3.5482e+006, y = 5.5877e+006
Object: x = 6.36873e+006, y = 166123
Object: x = 686510, y = 1.57563e+006
Object: x = 259564, y = 2.46225e+006
Object: x = 9.3083e+006, y = 9.44727e+006
Object: x = 7.31037e+006, y = 934366
Object: x = 7.70857e+006, y = 3.5712e+006
Object: x = 1.31198e+006, y = 2.67887e+006
Object: x = 8.05595e+006, y = 8.00688e+006
Object: x = 6.76641e+006, y = 7.35159e+006
Object: x = 3.34307e+006, y = 5.19929e+006
Object: x = 666727, y = 3.23615e+006
Object: x = 5.9507e+006, y = 8.50893e+006
Object: x = 8.87857e+006, y = 8.72666e+006
Object: x = 7.01621e+006, y = 4.73483e+006
Object: x = 6.67514e+006, y = 9.39666e+006
Object: x = 3.42422e+006, y = 3.60713e+006
Object: x = 3.52475e+006, y = 2.02896e+006
Object: x = 4.16266e+006, y = 8.65667e+006
Object: x = 1.98593e+006, y = 5.082e+006
Object: x = 2.72981e+006, y = 1.73068e+006
Object: x = 5.59562e+006, y = 4.98153e+006
Object: x = 955390, y = 8.72551e+006
Object: x = 897647, y = 7.08432e+006
Object: x = 3.56904e+006, y = 3.39637e+006
Object: x = 3.88191e+006, y = 1.15658e+006
Object: x = 3.13974e+006, y = 6.3337e+006
Object: x = 5.09686e+006, y = 4.96108e+006
Object: x = 8.0917e+006, y = 5.44735e+006
Object: x = 4.29551e+006, y = 8.44305e+006
